profile,branch,eigenvalue,epsilon,theta,theta_over_pi,probability_density,mass
single_wall,chiral,-0.0100508982961,0.02,1.92348769579,0.612265149524,0.00845266928183,-0.345424761118
single_wall,chiral,-0.0100508982961,0.02,1.92558081965,0.612931411539,0.00786144857136,-0.347388287644
single_wall,chiral,-0.0100508982961,0.02,1.9276739435,0.613597673554,0.00730857727582,-0.349350292205
single_wall,chiral,-0.0100508982961,0.02,1.92976706735,0.614263935569,0.00679179881093,-0.351310766204
single_wall,chiral,-0.0100508982961,0.02,1.9318601912,0.614930197584,0.00630897236661,-0.353269701052
single_wall,chiral,-0.0100508982961,0.02,1.93395331505,0.615596459599,0.00585806817068,-0.355227088167
single_wall,chiral,-0.0100508982961,0.02,1.9360464389,0.616262721614,0.00543716286298,-0.357182918974
single_wall,chiral,-0.0100508982961,0.02,1.93813956276,0.616928983629,0.00504443498341,-0.359137184903
single_wall,chiral,-0.0100508982961,0.02,1.94023268661,0.617595245644,0.00467816057688,-0.361089877392
single_wall,chiral,-0.0100508982961,0.02,1.94232581046,0.618261507659,0.00433670891748,-0.363040987886
single_wall,chiral,-0.0100508982961,0.02,1.94441893431,0.618927769674,0.00401853835396,-0.364990507838
single_wall,chiral,-0.0100508982961,0.02,1.94651205816,0.619594031689,0.00372219227762,-0.366938428706
single_wall,chiral,-0.0100508982961,0.02,1.94860518201,0.620260293704,0.00344629521389,-0.368884741956
single_wall,chiral,-0.0100508982961,0.02,1.95069830587,0.620926555719,0.00318954903775,-0.37082943906
single_wall,chiral,-0.0100508982961,0.02,1.95279142972,0.621592817734,0.00295072931333,-0.3727725115
single_wall,chiral,-0.0100508982961,0.02,1.95488455357,0.622259079749,0.0027286817574,-0.374713950761
single_wall,chiral,-0.0100508982961,0.02,1.95697767742,0.622925341764,0.00252231882595,-0.376653748338
single_wall,chiral,-0.0100508982961,0.02,1.95907080127,0.623591603779,0.00233061642327,-0.378591895732
single_wall,chiral,-0.0100508982961,0.02,1.96116392512,0.624257865794,0.00215261073198,-0.380528384453
single_wall,chiral,-0.0100508982961,0.02,1.96325704898,0.624924127809,0.0019873951628,-0.382463206015
single_wall,chiral,-0.0100508982961,0.02,1.96535017283,0.625590389824,0.00183411742227,-0.384396351943
single_wall,chiral,-0.0100508982961,0.02,1.96744329668,0.626256651839,0.00169197669647,-0.386327813767
single_wall,chiral,-0.0100508982961,0.02,1.96953642053,0.626922913854,0.00156022094877,-0.388257583025
single_wall,chiral,-0.0100508982961,0.02,1.97162954438,0.627589175869,0.00143814432918,-0.390185651261
single_wall,chiral,-0.0100508982961,0.02,1.97372266823,0.628255437884,0.0013250846931,-0.39211201003
single_wall,chiral,-0.0100508982961,0.02,1.97581579208,0.628921699899,0.00122042122678,-0.394036650891
single_wall,chiral,-0.0100508982961,0.02,1.97790891594,0.629587961914,0.00112357217687,-0.395959565412
single_wall,chiral,-0.0100508982961,0.02,1.98000203979,0.630254223929,0.00103399268144,-0.397880745168
single_wall,chiral,-0.0100508982961,0.02,1.98209516364,0.630920485944,0.00095117269957,-0.399800181743
single_wall,chiral,-0.0100508982961,0.02,1.98418828749,0.631586747959,0.000874635036704,-0.401717866727
single_wall,chiral,-0.0100508982961,0.02,1.98628141134,0.632253009974,0.000803933462795,-0.403633791718
single_wall,chiral,-0.0100508982961,0.02,1.98837453519,0.632919271989,0.000738650920422,-0.405547948323
single_wall,chiral,-0.0100508982961,0.02,1.99046765905,0.633585534004,0.000678397819824,-0.407460328155
single_wall,chiral,-0.0100508982961,0.02,1.9925607829,0.634251796019,0.000622810417951,-0.409370922836
single_wall,chiral,-0.0100508982961,0.02,1.99465390675,0.634918058033,0.000571549278549,-0.411279723994
single_wall,chiral,-0.0100508982961,0.02,1.9967470306,0.635584320048,0.00052429781035,-0.413186723268
single_wall,chiral,-0.0100508982961,0.02,1.99884015445,0.636250582063,0.000480760880438,-0.415091912303
single_wall,chiral,-0.0100508982961,0.02,2.0009332783,0.636916844078,0.000440663499897,-0.416995282751
single_wall,chiral,-0.0100508982961,0.02,2.00302640216,0.637583106093,0.000403749578889,-0.418896826273
single_wall,chiral,-0.0100508982961,0.02,2.00511952601,0.638249368108,0.000369780748344,-0.420796534539
single_wall,chiral,-0.0100508982961,0.02,2.00721264986,0.638915630123,0.000338535245495,-0.422694399226
single_wall,chiral,-0.0100508982961,0.02,2.00930577371,0.639581892138,0.00030980686055,-0.424590412018
single_wall,chiral,-0.0100508982961,0.02,2.01139889756,0.640248154153,0.000283403941832,-0.42648456461
single_wall,chiral,-0.0100508982961,0.02,2.01349202141,0.640914416168,0.000259148456812,-0.428376848701
single_wall,chiral,-0.0100508982961,0.02,2.01558514527,0.641580678183,0.000236875106482,-0.430267256003
single_wall,chiral,-0.0100508982961,0.02,2.01767826912,0.642246940198,0.000216430490631,-0.432155778233
single_wall,chiral,-0.0100508982961,0.02,2.01977139297,0.642913202213,0.000197672321597,-0.434042407116
single_wall,chiral,-0.0100508982961,0.02,2.02186451682,0.643579464228,0.00018046868421,-0.435927134387
single_wall,chiral,-0.0100508982961,0.02,2.02395764067,0.644245726243,0.000164697339639,-0.43780995179
single_wall,chiral,-0.0100508982961,0.02,2.02605076452,0.644911988258,0.000150245070998,-0.439690851074
single_wall,chiral,-0.0100508982961,0.02,2.02814388838,0.645578250273,0.000137007068582,-0.441569824
single_wall,chiral,-0.0100508982961,0.02,2.03023701223,0.646244512288,0.000124886352723,-0.443446862336
single_wall,chiral,-0.0100508982961,0.02,2.03233013608,0.646910774303,0.000113793232301,-0.445321957857
single_wall,chiral,-0.0100508982961,0.02,2.03442325993,0.647577036318,0.000103644797033,-0.447195102348
single_wall,chiral,-0.0100508982961,0.02,2.03651638378,0.648243298333,9.4364441735e-05,-0.449066287604
single_wall,chiral,-0.0100508982961,0.02,2.03860950763,0.648909560348,8.58814208153e-05,-0.450935505426
single_wall,chiral,-0.0100508982961,0.02,2.04070263149,0.649575822363,7.81304313477e-05,-0.452802747624
single_wall,chiral,-0.0100508982961,0.02,2.04279575534,0.650242084378,7.10512231214e-05,-0.454668006019
single_wall,chiral,-0.0100508982961,0.02,2.04488887919,0.650908346393,6.45882341507e-05,-0.456531272438
single_wall,chiral,-0.0100508982961,0.02,2.04698200304,0.651574608408,5.86902501885e-05,-0.458392538717
